epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,102.502,1.3091,8.99876,0.00524,0.17865,0.22377,0.06373,0.04862,1.28379,9.45864,0.00677,0.000206944,0.000206944,0.000206944
2,171.947,1.32956,7.77165,0.00512,0.3001,0.15345,0.10747,0.08178,1.26042,8.3168,0.00689,0.000407055,0.000407055,0.000407055
3,244.671,1.32111,6.87599,0.00546,0.32466,0.18877,0.11127,0.07807,1.2529,7.26072,0.00661,0.000598916,0.000598916,0.000598916
4,315.9,1.31338,6.09334,0.00528,0.34154,0.22534,0.14138,0.10288,1.26866,6.35669,0.00688,0.000587875,0.000587875,0.000587875
5,385.054,1.31818,5.44458,0.00545,0.45375,0.18691,0.14144,0.10053,1.28264,5.64297,0.0073,0.0005755,0.0005755,0.0005755
6,455.51,1.30672,4.74815,0.00522,0.36708,0.20187,0.15556,0.11184,1.26801,4.96497,0.00701,0.000563125,0.000563125,0.000563125
7,525.335,1.29641,4.30195,0.00525,0.36603,0.24167,0.16486,0.12044,1.30727,4.52665,0.00732,0.00055075,0.00055075,0.00055075
8,595.963,1.32761,3.9001,0.00549,0.34644,0.20912,0.16352,0.12046,1.27532,4.19523,0.00715,0.000538375,0.000538375,0.000538375
9,665.949,1.30302,3.60531,0.00516,0.34673,0.24648,0.1801,0.13385,1.23756,3.84809,0.007,0.000526,0.000526,0.000526
10,735.402,1.31146,3.32469,0.0051,0.4601,0.21498,0.20384,0.15154,1.24497,3.5796,0.00702,0.000513625,0.000513625,0.000513625
11,806.98,1.26802,3.17197,0.0051,0.42452,0.23258,0.2033,0.14723,1.26617,3.4464,0.00723,0.00050125,0.00050125,0.00050125
12,877.561,1.26764,3.01718,0.00514,0.36636,0.27011,0.20118,0.14857,1.25659,3.35657,0.00707,0.000488875,0.000488875,0.000488875
13,948.175,1.25468,2.91357,0.00502,0.4901,0.25231,0.22047,0.16611,1.24766,3.15684,0.007,0.0004765,0.0004765,0.0004765
14,1018.11,1.27535,2.75533,0.00492,0.41485,0.33514,0.23262,0.17303,1.24849,3.11405,0.00684,0.000464125,0.000464125,0.000464125
15,1085.39,1.26581,2.67498,0.0048,0.38507,0.33105,0.22239,0.16797,1.23435,3.06108,0.00695,0.00045175,0.00045175,0.00045175
16,1151.31,1.27018,2.61804,0.00495,0.3345,0.27996,0.23114,0.17325,1.25435,2.98218,0.00726,0.000439375,0.000439375,0.000439375
17,1216.93,1.24946,2.524,0.00476,0.3692,0.26823,0.22751,0.17189,1.25168,2.98176,0.00697,0.000427,0.000427,0.000427
18,1282.3,1.24606,2.43763,0.00471,0.41433,0.27574,0.22358,0.16574,1.23357,2.84933,0.00694,0.000414625,0.000414625,0.000414625
19,1348.04,1.24489,2.38987,0.00484,0.45367,0.36385,0.24161,0.18454,1.26144,2.97017,0.007,0.00040225,0.00040225,0.00040225
20,1413.19,1.24309,2.355,0.00473,0.33794,0.2632,0.23197,0.17796,1.22038,2.78114,0.00691,0.000389875,0.000389875,0.000389875
21,1478.75,1.22542,2.27405,0.00498,0.51013,0.22439,0.23365,0.18161,1.23684,2.82096,0.00678,0.0003775,0.0003775,0.0003775
22,1543.22,1.20859,2.22471,0.00458,0.44533,0.2684,0.2372,0.18235,1.22111,2.72502,0.0065,0.000365125,0.000365125,0.000365125
23,1609.21,1.19641,2.16209,0.00459,0.43651,0.26952,0.23843,0.18299,1.23452,2.70802,0.00668,0.00035275,0.00035275,0.00035275
24,1676.62,1.24175,2.15686,0.0043,0.33675,0.35575,0.24402,0.18761,1.20356,2.72464,0.00643,0.000340375,0.000340375,0.000340375
25,1742.66,1.20405,2.1024,0.00451,0.42156,0.36004,0.23128,0.18022,1.21997,2.70247,0.00649,0.000328,0.000328,0.000328
26,1808.77,1.19438,2.04711,0.00453,0.42362,0.3614,0.22916,0.17565,1.22049,2.80636,0.00666,0.000315625,0.000315625,0.000315625
27,1873.79,1.20947,2.06634,0.00444,0.32465,0.36113,0.23543,0.17811,1.21758,2.72151,0.00669,0.00030325,0.00030325,0.00030325
28,1940.3,1.17403,2.02814,0.00432,0.39388,0.30979,0.23346,0.18041,1.22447,2.7121,0.00647,0.000290875,0.000290875,0.000290875
29,2006.56,1.15159,1.9396,0.00444,0.47426,0.28409,0.26721,0.21157,1.22791,2.75388,0.0067,0.0002785,0.0002785,0.0002785
30,2072.61,1.15541,1.89476,0.00418,0.40491,0.24515,0.23412,0.18323,1.20088,2.74428,0.00633,0.000266125,0.000266125,0.000266125
31,2139.43,1.17884,1.90055,0.00433,0.51608,0.33447,0.25754,0.2008,1.20841,2.68298,0.00637,0.00025375,0.00025375,0.00025375
32,2205.21,1.16883,1.85535,0.00435,0.45432,0.31835,0.25865,0.20503,1.21171,2.63401,0.00642,0.000241375,0.000241375,0.000241375
33,2273.15,1.19751,1.86664,0.00412,0.44295,0.32256,0.25577,0.19989,1.20434,2.66378,0.00634,0.000229,0.000229,0.000229
34,2341,1.14484,1.81194,0.00406,0.36335,0.35697,0.24473,0.19009,1.20662,2.69078,0.00643,0.000216625,0.000216625,0.000216625
35,2408.35,1.15868,1.77731,0.00399,0.44969,0.31736,0.25302,0.1954,1.19892,2.68339,0.00638,0.00020425,0.00020425,0.00020425
36,2474.12,1.14691,1.75876,0.00419,0.39747,0.33751,0.25287,0.19783,1.18612,2.68783,0.00614,0.000191875,0.000191875,0.000191875
37,2540.49,1.14263,1.75019,0.00401,0.36491,0.36102,0.25724,0.20107,1.20319,2.66715,0.00622,0.0001795,0.0001795,0.0001795
38,2605.56,1.14041,1.72225,0.00412,0.40602,0.33653,0.2546,0.19925,1.17241,2.62155,0.00599,0.000167125,0.000167125,0.000167125
39,2670.84,1.16741,1.72447,0.00403,0.36912,0.3553,0.25104,0.19622,1.18487,2.6845,0.00616,0.00015475,0.00015475,0.00015475
40,2736.53,1.11514,1.64224,0.0041,0.40827,0.34046,0.31112,0.2552,1.20958,2.63962,0.00639,0.000142375,0.000142375,0.000142375
41,2808.7,1.03793,1.66627,0.00432,0.37742,0.33158,0.26512,0.21212,1.23105,2.68496,0.00642,0.00013,0.00013,0.00013
42,2876.01,1.02828,1.57455,0.00405,0.37388,0.33519,0.3067,0.25312,1.20667,2.69438,0.00626,0.000117625,0.000117625,0.000117625
43,2944.55,0.99762,1.51355,0.00396,0.38226,0.33996,0.30669,0.25301,1.20192,2.68654,0.00625,0.00010525,0.00010525,0.00010525
44,3010.05,0.99868,1.50943,0.00397,0.39218,0.34615,0.30661,0.25091,1.21661,2.68571,0.0064,9.2875e-05,9.2875e-05,9.2875e-05
45,3073.2,1.02167,1.50703,0.00373,0.38866,0.34214,0.30815,0.25457,1.21799,2.66286,0.00632,8.05e-05,8.05e-05,8.05e-05
46,3136.54,1.00139,1.47042,0.00369,0.38076,0.33596,0.31447,0.25708,1.21912,2.64815,0.00636,6.8125e-05,6.8125e-05,6.8125e-05
47,3200.83,0.98618,1.4324,0.00364,0.406,0.32569,0.31127,0.25666,1.21697,2.63372,0.00637,5.575e-05,5.575e-05,5.575e-05
48,3265.96,1.00239,1.49107,0.00371,0.43157,0.30912,0.31235,0.25729,1.21297,2.64508,0.00628,4.3375e-05,4.3375e-05,4.3375e-05
49,3331.15,0.97388,1.41936,0.00359,0.43842,0.30818,0.3106,0.25524,1.19615,2.65581,0.00621,3.1e-05,3.1e-05,3.1e-05
