epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3577,2.00759,4.09254,0.02629,0.0048,0.36829,0.06944,0.02157,2.01,5.55383,0.03889,0.000638889,0.000638889,0.000638889
2,44.4783,1.85446,3.76888,0.02397,0.00457,0.35038,0.02684,0.00824,2.09354,5.31403,0.03825,0.00130297,0.00130297,0.00130297
3,50.331,1.86465,3.60019,0.02248,0.15452,0.11171,0.04953,0.01562,2.22568,5.14877,0.04705,0.00196441,0.00196441,0.00196441
4,56.1839,1.87193,3.39398,0.02386,0.11212,0.08696,0.04074,0.01317,2.31127,5.03948,0.04533,0.00198812,0.00198812,0.00198812
5,62.0748,1.88692,3.23217,0.02385,0.18089,0.20205,0.10101,0.03508,2.06516,4.162,0.03776,0.00198416,0.00198416,0.00198416
6,68.0253,1.92188,3.10728,0.02448,0.22163,0.28133,0.12897,0.04365,2.27541,5.2379,0.04619,0.0019802,0.0019802,0.0019802
7,73.8728,1.86296,2.9777,0.02429,0.19953,0.19693,0.11897,0.0402,2.1415,3.45414,0.0389,0.00197624,0.00197624,0.00197624
8,79.8427,1.90388,2.8907,0.02368,0.23681,0.12788,0.10232,0.03265,2.26982,3.57178,0.04421,0.00197228,0.00197228,0.00197228
9,85.7678,1.93028,2.82129,0.02394,0.35123,0.21995,0.18744,0.05697,2.29258,3.10975,0.04456,0.00196832,0.00196832,0.00196832
10,91.7077,1.86471,2.71568,0.02324,0.26589,0.27366,0.20063,0.072,2.17168,3.01461,0.04016,0.00196436,0.00196436,0.00196436
11,97.721,1.87294,2.6447,0.02461,0.2693,0.22762,0.16283,0.05095,2.15368,3.14935,0.04075,0.0019604,0.0019604,0.0019604
12,103.631,1.89423,2.63122,0.02431,0.34511,0.24808,0.21402,0.06611,2.18583,2.99792,0.0433,0.00195644,0.00195644,0.00195644
13,109.654,1.81834,2.59527,0.02518,0.26517,0.26343,0.19841,0.07456,2.1873,2.97787,0.04158,0.00195248,0.00195248,0.00195248
14,115.656,1.81957,2.49398,0.02379,0.30368,0.25831,0.19767,0.0581,2.27169,2.9272,0.04523,0.00194852,0.00194852,0.00194852
15,121.61,1.88571,2.54092,0.02369,0.24512,0.19437,0.13091,0.04375,2.04984,3.25631,0.03658,0.00194456,0.00194456,0.00194456
16,127.628,1.86283,2.48408,0.02528,0.34581,0.32481,0.25416,0.0885,2.03849,2.92366,0.03807,0.0019406,0.0019406,0.0019406
17,133.624,1.9086,2.48977,0.02451,0.35616,0.29412,0.22791,0.08303,2.23472,2.96787,0.04458,0.00193664,0.00193664,0.00193664
18,139.626,1.86141,2.32175,0.02464,0.34321,0.30691,0.26161,0.08585,2.20495,2.94157,0.04027,0.00193268,0.00193268,0.00193268
19,145.529,1.88957,2.3293,0.02469,0.40232,0.31202,0.25071,0.08711,2.21086,2.66979,0.04311,0.00192872,0.00192872,0.00192872
20,151.518,1.87794,2.38203,0.02411,0.37774,0.29156,0.24029,0.08378,2.13377,2.82756,0.03859,0.00192476,0.00192476,0.00192476
21,157.55,1.86414,2.42459,0.02413,0.35238,0.29668,0.22741,0.07103,2.21504,2.80846,0.04,0.0019208,0.0019208,0.0019208
22,163.537,1.83197,2.31147,0.02334,0.39587,0.32225,0.27134,0.09339,2.33752,2.63309,0.04694,0.00191684,0.00191684,0.00191684
23,169.511,1.88471,2.33629,0.0227,0.41186,0.30691,0.25513,0.08356,2.31925,2.54427,0.04478,0.00191288,0.00191288,0.00191288
24,175.58,1.81857,2.34228,0.02344,0.41921,0.32121,0.27692,0.09904,2.17086,2.58617,0.04103,0.00190892,0.00190892,0.00190892
25,181.562,1.81573,2.26946,0.0231,0.43754,0.29843,0.28011,0.09535,2.281,2.44553,0.04613,0.00190496,0.00190496,0.00190496
26,187.594,1.8774,2.26929,0.0239,0.36479,0.31714,0.25073,0.08492,2.16256,2.65084,0.04029,0.001901,0.001901,0.001901
27,193.548,1.84627,2.24839,0.02443,0.39107,0.31202,0.27263,0.09866,2.15975,2.77931,0.04153,0.00189704,0.00189704,0.00189704
28,199.456,1.81936,2.22658,0.02324,0.53284,0.31202,0.32768,0.12041,2.10499,2.56743,0.04001,0.00189308,0.00189308,0.00189308
29,205.467,1.84731,2.15503,0.02288,0.40259,0.31714,0.27202,0.10197,2.30248,2.66368,0.04763,0.00188912,0.00188912,0.00188912
