epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9199,2.17039,3.24606,0.0258,0.18174,0.14054,0.07264,0.02326,2.23467,4.11516,0.0351,0.000631579,0.000631579,0.000631579
2,37.5916,2.02233,3.08601,0.02508,0.17146,0.15946,0.06207,0.01632,2.27362,4.47272,0.03671,0.00127254,0.00127254,0.00127254
3,42.2825,2.07736,3.07348,0.02453,0.23166,0.15946,0.10219,0.03011,2.36381,4.85,0.03827,0.0018871,0.0018871,0.0018871
4,47.0446,2.02507,2.92037,0.02386,0.20968,0.16492,0.11203,0.03601,2.22873,4.19834,0.03573,0.0018812,0.0018812,0.0018812
5,51.7539,2.00041,2.82183,0.02341,0.28868,0.20811,0.17075,0.04915,2.2522,3.51133,0.03671,0.0018416,0.0018416,0.0018416
6,56.4173,1.97986,2.80308,0.02283,0.28577,0.25135,0.18687,0.05112,2.30711,3.28071,0.0372,0.001802,0.001802,0.001802
7,61.1533,1.95283,2.77198,0.02428,0.28154,0.24054,0.15235,0.04275,2.15777,3.27951,0.03328,0.0017624,0.0017624,0.0017624
8,65.8302,2.02354,2.76541,0.02295,0.23195,0.27017,0.13997,0.04016,2.11222,3.57811,0.0327,0.0017228,0.0017228,0.0017228
9,70.4708,2.00898,2.76658,0.02385,0.43765,0.21622,0.21415,0.07519,2.10103,2.92826,0.03081,0.0016832,0.0016832,0.0016832
10,75.2527,2.00503,2.71927,0.02157,0.35734,0.22973,0.18507,0.06325,2.14941,3.1264,0.0334,0.0016436,0.0016436,0.0016436
11,79.9823,1.88053,2.72028,0.02355,0.27675,0.22162,0.16344,0.05548,2.11493,3.06259,0.03254,0.001604,0.001604,0.001604
12,84.7477,1.94381,2.72008,0.02287,0.31127,0.25405,0.16551,0.05731,2.1629,3.11715,0.03414,0.0015644,0.0015644,0.0015644
13,89.6251,2.01941,2.63739,0.02347,0.29283,0.26757,0.18933,0.06606,2.00413,3.08787,0.02978,0.0015248,0.0015248,0.0015248
14,94.4881,1.96428,2.63921,0.02218,0.29448,0.2369,0.17909,0.05648,2.20367,2.93037,0.03459,0.0014852,0.0014852,0.0014852
15,99.2712,1.92948,2.57222,0.02446,0.33936,0.28649,0.21104,0.06456,2.24245,2.70286,0.0337,0.0014456,0.0014456,0.0014456
16,104.075,2.01729,2.61117,0.0222,0.2738,0.32973,0.21484,0.08073,2.06788,2.83091,0.02979,0.001406,0.001406,0.001406
17,108.872,1.99486,2.53943,0.02278,0.31077,0.32432,0.19049,0.05568,2.06059,3.20384,0.03188,0.0013664,0.0013664,0.0013664
18,113.645,1.91144,2.43029,0.022,0.30541,0.33243,0.22596,0.07458,2.16361,2.66572,0.03381,0.0013268,0.0013268,0.0013268
19,118.393,1.97504,2.45535,0.02355,0.29025,0.32432,0.20213,0.06328,2.2475,2.62613,0.03414,0.0012872,0.0012872,0.0012872
