epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4051,2.18427,3.99973,0.02662,0.00606,0.4027,0.06087,0.02122,1.9558,5.40665,0.0303,0.000631579,0.000631579,0.000631579
2,37.0603,1.91535,3.8429,0.02441,0.00589,0.39189,0.0446,0.01619,1.88352,5.26397,0.0274,0.00128968,0.00128968,0.00128968
3,41.6016,1.83641,3.67381,0.024,0.01288,0.31081,0.04634,0.01297,2.40443,5.34613,0.03824,0.00193898,0.00193898,0.00193898
4,46.1343,1.9339,3.33933,0.02319,0.18422,0.15135,0.08367,0.0231,2.12253,5.11645,0.03351,0.0019604,0.0019604,0.0019604
5,50.8078,1.92325,3.21325,0.02499,0.1707,0.16486,0.0714,0.01771,2.11886,5.10094,0.03224,0.0019472,0.0019472,0.0019472
6,55.394,1.96044,3.2223,0.02386,0.20734,0.17297,0.09924,0.03324,2.12544,4.29258,0.03312,0.001934,0.001934,0.001934
7,60.0003,1.85899,3.05929,0.0235,0.23316,0.16486,0.09904,0.02882,2.09722,4.15724,0.03221,0.0019208,0.0019208,0.0019208
8,64.5713,1.92075,2.96191,0.02459,0.25761,0.18378,0.13754,0.04031,2.07625,4.11493,0.03244,0.0019076,0.0019076,0.0019076
9,69.1981,1.88301,2.86446,0.02237,0.34782,0.29837,0.2327,0.08785,2.04909,3.35361,0.03111,0.0018944,0.0018944,0.0018944
10,73.7982,1.83189,2.80866,0.02419,0.2665,0.28649,0.16557,0.04816,2.20194,3.46001,0.0359,0.0018812,0.0018812,0.0018812
11,78.3981,1.84712,2.7235,0.02446,0.25904,0.22162,0.13831,0.04281,2.20794,3.28006,0.0346,0.001868,0.001868,0.001868
12,82.989,1.84515,2.74122,0.0228,0.28871,0.23514,0.18748,0.06507,2.08387,2.93923,0.03229,0.0018548,0.0018548,0.0018548
13,87.6068,1.92349,2.62705,0.02385,0.32674,0.27568,0.20161,0.07593,2.14887,2.81595,0.03264,0.0018416,0.0018416,0.0018416
14,92.2493,1.89805,2.58188,0.02311,0.3502,0.31081,0.22235,0.08114,2.08315,2.75714,0.0317,0.0018284,0.0018284,0.0018284
15,96.9261,1.89987,2.52694,0.02306,0.38246,0.29189,0.25315,0.09375,2.07406,2.68049,0.03111,0.0018152,0.0018152,0.0018152
16,101.583,1.86252,2.52236,0.02338,0.38466,0.28108,0.23862,0.08063,2.17935,2.85416,0.03323,0.001802,0.001802,0.001802
17,106.286,1.83365,2.46463,0.02253,0.35103,0.24865,0.20115,0.07633,2.04452,2.83987,0.03111,0.0017888,0.0017888,0.0017888
18,110.987,1.8662,2.5045,0.02289,0.29354,0.25676,0.21149,0.07254,2.08919,2.76011,0.03136,0.0017756,0.0017756,0.0017756
19,115.713,1.88257,2.45862,0.02301,0.33516,0.31622,0.24252,0.07947,1.96219,2.84914,0.02893,0.0017624,0.0017624,0.0017624
20,120.452,1.82688,2.45843,0.02276,0.40234,0.33295,0.27665,0.09664,2.11344,2.50895,0.03214,0.0017492,0.0017492,0.0017492
21,125.227,1.88491,2.34971,0.02296,0.41506,0.32432,0.27527,0.10282,2.0619,2.60186,0.03126,0.001736,0.001736,0.001736
22,130.05,1.81863,2.31976,0.0229,0.39201,0.33807,0.31075,0.12868,1.97708,2.50398,0.02979,0.0017228,0.0017228,0.0017228
23,134.892,1.82769,2.33059,0.02221,0.37706,0.3027,0.24895,0.09005,2.01692,2.55443,0.02982,0.0017096,0.0017096,0.0017096
24,139.706,1.83573,2.24521,0.02148,0.37858,0.34741,0.29363,0.10357,1.89903,2.50917,0.02817,0.0016964,0.0016964,0.0016964
25,144.472,1.81191,2.28813,0.02362,0.41915,0.33243,0.29141,0.10096,1.98938,2.55013,0.03053,0.0016832,0.0016832,0.0016832
26,149.249,1.8438,2.26929,0.02297,0.39242,0.33784,0.30276,0.11256,1.94842,2.43717,0.02836,0.00167,0.00167,0.00167
27,154.007,1.81157,2.21175,0.0217,0.40384,0.35405,0.31371,0.12544,1.91794,2.43159,0.02795,0.0016568,0.0016568,0.0016568
28,158.702,1.82891,2.19611,0.02346,0.42968,0.33784,0.33375,0.1359,1.98726,2.26341,0.02967,0.0016436,0.0016436,0.0016436
29,163.416,1.83591,2.25103,0.02119,0.43841,0.38108,0.34603,0.14037,1.97562,2.3366,0.02952,0.0016304,0.0016304,0.0016304
30,168.194,1.84877,2.22085,0.02179,0.45257,0.30811,0.28627,0.10853,2.107,2.33298,0.03126,0.0016172,0.0016172,0.0016172
31,172.911,1.7868,2.14826,0.02203,0.42184,0.33243,0.29954,0.12922,2.05963,2.3759,0.03059,0.001604,0.001604,0.001604
32,177.635,1.79291,2.21803,0.02383,0.41347,0.34865,0.29666,0.11037,2.04671,2.42982,0.03128,0.0015908,0.0015908,0.0015908
33,182.34,1.816,2.22926,0.02259,0.36011,0.36486,0.29651,0.12393,1.98258,2.28456,0.02957,0.0015776,0.0015776,0.0015776
34,187.027,1.77699,2.14203,0.02083,0.50686,0.36757,0.3502,0.12012,2.11266,2.27667,0.03274,0.0015644,0.0015644,0.0015644
35,191.746,1.76716,2.07588,0.02122,0.46581,0.34595,0.34432,0.14904,1.97031,2.20238,0.02821,0.0015512,0.0015512,0.0015512
36,196.445,1.81256,2.09799,0.02066,0.40532,0.38108,0.30172,0.12159,1.92117,2.3691,0.02785,0.001538,0.001538,0.001538
37,201.187,1.78864,2.05414,0.02182,0.42714,0.37568,0.32062,0.13918,1.92917,2.31027,0.0283,0.0015248,0.0015248,0.0015248
38,205.814,1.81023,2.08295,0.02109,0.47134,0.35946,0.33232,0.15006,1.98667,2.18144,0.02901,0.0015116,0.0015116,0.0015116
39,210.537,1.75663,2.05458,0.02057,0.4774,0.37775,0.36136,0.15414,1.92031,2.25095,0.02842,0.0014984,0.0014984,0.0014984
40,215.267,1.75315,2.06956,0.0206,0.45813,0.34054,0.31208,0.12491,2.0442,2.32394,0.0303,0.0014852,0.0014852,0.0014852
41,219.948,1.77618,2.08614,0.02159,0.56633,0.38825,0.39355,0.18167,1.86254,2.07911,0.02664,0.001472,0.001472,0.001472
42,224.663,1.77676,2.02323,0.02099,0.48971,0.4,0.39742,0.17855,1.95248,2.12786,0.02915,0.0014588,0.0014588,0.0014588
43,229.376,1.78061,2.03426,0.02083,0.43949,0.37722,0.36793,0.15399,2.04298,2.01637,0.03131,0.0014456,0.0014456,0.0014456
44,234.101,1.77618,2.10551,0.0234,0.50701,0.34865,0.35387,0.15708,1.96913,2.17449,0.02933,0.0014324,0.0014324,0.0014324
45,238.861,1.7739,2.05891,0.02087,0.47015,0.37652,0.37811,0.15863,2.01795,2.13016,0.02934,0.0014192,0.0014192,0.0014192
46,243.632,1.76048,2.04736,0.02139,0.43261,0.35676,0.33706,0.15276,1.89696,2.16656,0.02732,0.001406,0.001406,0.001406
47,248.347,1.78725,2.03891,0.02152,0.45479,0.36486,0.33015,0.13475,2.06793,2.26009,0.03056,0.0013928,0.0013928,0.0013928
48,253.089,1.86109,2.03265,0.02155,0.42612,0.38919,0.35616,0.14756,1.98695,2.14576,0.02901,0.0013796,0.0013796,0.0013796
49,257.798,1.74416,2.00101,0.01897,0.51076,0.35135,0.35764,0.1392,2.02499,2.27356,0.03039,0.0013664,0.0013664,0.0013664
50,262.529,1.76271,1.94394,0.02082,0.58359,0.40811,0.41835,0.19172,1.89878,2.06868,0.02704,0.0013532,0.0013532,0.0013532
51,267.181,1.76119,1.93048,0.02153,0.60811,0.39003,0.43903,0.20164,1.8599,1.93784,0.0273,0.00134,0.00134,0.00134
52,271.907,1.70469,1.89947,0.02114,0.53477,0.41351,0.43632,0.18697,1.94885,2.01368,0.02845,0.0013268,0.0013268,0.0013268
53,276.607,1.68583,1.90018,0.02078,0.59419,0.37199,0.41781,0.17369,1.89413,2.18253,0.02747,0.0013136,0.0013136,0.0013136
54,281.28,1.75423,1.95581,0.02054,0.45258,0.39459,0.39119,0.15643,1.93577,2.24124,0.02828,0.0013004,0.0013004,0.0013004
55,285.938,1.76578,1.92326,0.02174,0.54353,0.40549,0.41098,0.1683,1.90418,2.0286,0.02756,0.0012872,0.0012872,0.0012872
56,290.603,1.75655,1.91092,0.02086,0.47002,0.42426,0.36202,0.14069,2.06838,2.09845,0.03135,0.001274,0.001274,0.001274
57,295.331,1.74183,1.92612,0.02123,0.50825,0.42703,0.42172,0.17822,1.99828,1.91542,0.02862,0.0012608,0.0012608,0.0012608
58,300.03,1.70134,1.86082,0.01986,0.5486,0.38919,0.44136,0.18934,1.92889,1.912,0.02722,0.0012476,0.0012476,0.0012476
59,304.751,1.73788,1.86926,0.02027,0.47281,0.47297,0.42352,0.17137,1.93034,2.01328,0.02759,0.0012344,0.0012344,0.0012344
60,309.48,1.72869,1.82979,0.01996,0.50937,0.44324,0.42008,0.17447,1.88867,1.99527,0.02848,0.0012212,0.0012212,0.0012212
61,314.204,1.74253,1.91546,0.02179,0.50922,0.41351,0.4175,0.18092,1.87542,2.03031,0.02716,0.001208,0.001208,0.001208
62,318.909,1.75214,1.90441,0.02081,0.52979,0.39459,0.41215,0.17376,1.95033,2.03946,0.02891,0.0011948,0.0011948,0.0011948
63,323.65,1.6663,1.81511,0.02008,0.5207,0.41622,0.41087,0.16918,1.98382,1.96773,0.02913,0.0011816,0.0011816,0.0011816
64,328.354,1.74011,1.89629,0.02098,0.53375,0.4027,0.41507,0.17423,2.01745,2.00742,0.029,0.0011684,0.0011684,0.0011684
65,333.058,1.70648,1.85844,0.02077,0.49163,0.42703,0.41262,0.16383,2.07007,2.05866,0.03097,0.0011552,0.0011552,0.0011552
66,337.718,1.71682,1.88569,0.02226,0.55429,0.35946,0.37235,0.15349,1.97964,2.27828,0.0288,0.001142,0.001142,0.001142
67,342.471,1.73173,1.80624,0.02058,0.47698,0.4027,0.35785,0.14947,2.01422,2.17673,0.02865,0.0011288,0.0011288,0.0011288
68,347.21,1.77985,1.81982,0.02077,0.53439,0.40541,0.41403,0.16322,2.01175,2.11609,0.02857,0.0011156,0.0011156,0.0011156
69,351.968,1.74818,1.89533,0.01962,0.62207,0.41622,0.43804,0.191,1.92711,1.95559,0.02705,0.0011024,0.0011024,0.0011024
70,356.586,1.67598,1.76263,0.01919,0.66125,0.37985,0.44994,0.19782,1.92164,1.95461,0.02751,0.0010892,0.0010892,0.0010892
71,361.3,1.7351,1.77237,0.01953,0.60066,0.42432,0.48131,0.22327,1.90287,1.82492,0.02714,0.001076,0.001076,0.001076
72,366.051,1.74847,1.81565,0.02073,0.66669,0.41622,0.47858,0.21132,1.91348,1.86492,0.02726,0.0010628,0.0010628,0.0010628
73,370.775,1.70573,1.77699,0.01939,0.59793,0.41622,0.4774,0.20034,1.95188,1.90006,0.02783,0.0010496,0.0010496,0.0010496
74,375.535,1.71672,1.80013,0.02002,0.65375,0.4,0.47379,0.21905,1.89576,1.83726,0.02698,0.0010364,0.0010364,0.0010364
75,380.31,1.71528,1.78576,0.02157,0.61018,0.44865,0.49047,0.22235,1.91339,1.77273,0.02721,0.0010232,0.0010232,0.0010232
76,384.975,1.73329,1.82787,0.01988,0.6351,0.42703,0.46255,0.2085,1.96918,1.80985,0.02732,0.00101,0.00101,0.00101
77,389.647,1.65813,1.73561,0.02076,0.63543,0.43243,0.45745,0.21686,1.97764,2.01611,0.02834,0.0009968,0.0009968,0.0009968
78,394.451,1.66769,1.72142,0.02076,0.6144,0.45217,0.4578,0.2102,1.95673,1.84291,0.02774,0.0009836,0.0009836,0.0009836
79,399.183,1.67142,1.74179,0.02099,0.59002,0.43564,0.43513,0.19556,2.00113,1.95239,0.02823,0.0009704,0.0009704,0.0009704
