epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,6.72531,2.12923,3.25483,0.02564,0.07577,0.14054,0.04005,0.01381,2.1994,4.25746,0.03624,0.000631579,0.000631579,0.000631579
2,13.835,2.06409,2.85347,0.02731,0.16335,0.17297,0.07983,0.02054,2.75966,3.5441,0.04973,0.00128968,0.00128968,0.00128968
3,20.9986,2.12782,2.78997,0.02951,0.14793,0.20811,0.09015,0.0252,2.71963,3.38761,0.04619,0.00193898,0.00193898,0.00193898
4,28.154,2.18429,2.84993,0.0276,0.08245,0.13243,0.03262,0.01106,2.88527,10.0381,0.05212,0.0019604,0.0019604,0.0019604
5,35.191,2.19391,2.8093,0.02977,0.12734,0.22973,0.06957,0.01637,2.85909,4.40784,0.05128,0.0019472,0.0019472,0.0019472
6,42.2852,2.20743,2.68669,0.02783,0.13136,0.21351,0.07479,0.02176,2.6838,3.73781,0.04673,0.001934,0.001934,0.001934
7,49.4106,2.14496,2.6449,0.02845,0.12803,0.2027,0.06301,0.01543,2.59855,5.82375,0.04382,0.0019208,0.0019208,0.0019208
8,56.55,2.17568,2.7138,0.02915,0.23218,0.23514,0.14598,0.04327,2.52085,3.21691,0.04321,0.0019076,0.0019076,0.0019076
9,63.8478,2.11671,2.64882,0.02655,0.31583,0.24324,0.19968,0.06077,2.41948,4.14808,0.03898,0.0018944,0.0018944,0.0018944
10,71.4603,2.11403,2.5406,0.02882,0.30775,0.25676,0.20047,0.05868,2.42384,3.08864,0.03939,0.0018812,0.0018812,0.0018812
11,78.6671,2.1009,2.46608,0.02904,0.23911,0.23784,0.14079,0.04003,2.31547,3.67287,0.0364,0.001868,0.001868,0.001868
12,85.9091,2.09411,2.42194,0.0272,0.30411,0.24324,0.17813,0.05175,2.45957,3.37628,0.04169,0.0018548,0.0018548,0.0018548
13,93.2507,2.15334,2.41978,0.02753,0.38542,0.29189,0.23515,0.07545,2.27765,2.86205,0.03659,0.0018416,0.0018416,0.0018416
14,100.721,2.15059,2.45936,0.02732,0.28814,0.23243,0.18267,0.05926,2.31464,2.853,0.03591,0.0018284,0.0018284,0.0018284
15,108.086,2.0865,2.45303,0.02627,0.32591,0.25946,0.20326,0.07402,2.26966,3.04612,0.03622,0.0018152,0.0018152,0.0018152
16,115.485,2.05545,2.36117,0.02638,0.34176,0.27297,0.21314,0.07788,2.41785,2.71671,0.03863,0.001802,0.001802,0.001802
17,123.075,2.05292,2.33809,0.02593,0.3566,0.25135,0.22877,0.06911,2.38403,2.70567,0.03776,0.0017888,0.0017888,0.0017888
18,130.605,2.06496,2.35486,0.02638,0.42523,0.30811,0.27144,0.08066,2.41525,2.74759,0.03921,0.0017756,0.0017756,0.0017756
19,138.222,2.10773,2.29894,0.02652,0.42702,0.35405,0.30654,0.0956,2.36578,2.41143,0.03809,0.0017624,0.0017624,0.0017624
20,145.702,2.0452,2.31151,0.02657,0.34464,0.32432,0.24913,0.07555,2.38702,2.68996,0.03773,0.0017492,0.0017492,0.0017492
21,153.277,2.00967,2.26493,0.0248,0.38204,0.31892,0.26731,0.07745,2.31777,2.46769,0.03625,0.001736,0.001736,0.001736
22,160.627,1.94125,2.24287,0.02486,0.43615,0.37568,0.31823,0.10732,2.19529,2.55074,0.03333,0.0017228,0.0017228,0.0017228
23,168.038,1.98502,2.24884,0.02459,0.46734,0.37297,0.34778,0.1227,2.19315,2.35524,0.0337,0.0017096,0.0017096,0.0017096
24,175.496,1.97124,2.15879,0.02391,0.31265,0.27838,0.21904,0.07728,2.2698,2.69241,0.03485,0.0016964,0.0016964,0.0016964
25,182.791,1.95943,2.22185,0.02605,0.43667,0.29459,0.27271,0.09255,2.19309,2.53747,0.03289,0.0016832,0.0016832,0.0016832
26,190.16,1.99156,2.20514,0.0253,0.41894,0.37568,0.32495,0.10695,2.15683,2.47151,0.03273,0.00167,0.00167,0.00167
27,197.457,1.93718,2.11481,0.02369,0.38777,0.33038,0.28214,0.08895,2.29314,2.36501,0.03508,0.0016568,0.0016568,0.0016568
28,204.811,1.96342,2.07043,0.02551,0.3815,0.33784,0.29224,0.0971,2.32916,2.27936,0.0369,0.0016436,0.0016436,0.0016436
29,212.19,1.9934,2.09575,0.02368,0.44502,0.36192,0.34286,0.12584,2.15497,2.27808,0.03162,0.0016304,0.0016304,0.0016304
30,219.72,1.96697,2.08711,0.02318,0.42343,0.3027,0.30224,0.0981,2.22271,2.4421,0.03461,0.0016172,0.0016172,0.0016172
31,227.106,1.92039,2.05789,0.02445,0.44342,0.34667,0.2999,0.09747,2.23241,2.41987,0.03398,0.001604,0.001604,0.001604
32,234.768,1.94681,2.16897,0.02637,0.43941,0.35135,0.30537,0.09674,2.31297,2.36272,0.03615,0.0015908,0.0015908,0.0015908
33,242.164,1.94932,2.15255,0.02487,0.44307,0.32703,0.32787,0.12554,2.15145,2.36497,0.03263,0.0015776,0.0015776,0.0015776
34,249.546,1.88529,2.04769,0.02257,0.46232,0.32535,0.32875,0.11522,2.1459,2.35643,0.03294,0.0015644,0.0015644,0.0015644
35,256.886,1.88175,2.00623,0.02311,0.55583,0.31793,0.34877,0.11305,2.26682,2.30142,0.03467,0.0015512,0.0015512,0.0015512
36,264.24,1.93168,2.00385,0.02233,0.44143,0.33784,0.30547,0.1015,2.1426,2.43981,0.03326,0.001538,0.001538,0.001538
37,271.658,1.88161,1.9777,0.02316,0.46366,0.33514,0.32563,0.11399,2.28849,2.26652,0.03482,0.0015248,0.0015248,0.0015248
