epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7309,2.15885,4.61013,0.03005,0.00538,0.75,0.06294,0.0246,1.94172,6.82162,0.03888,0.0005,0.0005,0.0005
2,26.0164,2.1428,4.49178,0.027,0.00538,0.75,0.05389,0.02062,1.90383,6.80576,0.03663,0.00114357,0.00114357,0.00114357
3,27.326,2.04599,4.24565,0.02595,0.00436,0.60714,0.12823,0.05532,1.97345,6.86217,0.04408,0.00176073,0.00176073,0.00176073
4,28.6853,1.81768,4.27935,0.02621,0.00538,0.75,0.09439,0.03681,1.86279,6.66635,0.04175,0.0018812,0.0018812,0.0018812
5,30.0484,1.8568,4.33719,0.02662,0.00538,0.75,0.09909,0.02396,2.10221,6.88927,0.04927,0.0018416,0.0018416,0.0018416
6,31.375,1.84353,4.26877,0.02692,0.0059,0.82143,0.10628,0.03456,1.96905,6.80373,0.04579,0.001802,0.001802,0.001802
7,32.7299,1.70903,4.02342,0.02417,0.0041,0.57143,0.046,0.01484,2.3069,7.10426,0.05469,0.0017624,0.0017624,0.0017624
8,34.0681,1.70829,4.01878,0.02393,0.00359,0.5,0.07279,0.02103,2.38261,7.20367,0.057,0.0017228,0.0017228,0.0017228
9,35.3812,1.66884,3.81066,0.02345,0.00436,0.60714,0.03795,0.0148,2.2276,7.1328,0.05597,0.0016832,0.0016832,0.0016832
10,36.7689,1.64377,3.59789,0.02239,0.0041,0.57143,0.05631,0.0253,2.20652,7.07573,0.05008,0.0016436,0.0016436,0.0016436
11,38.1079,1.59724,3.90659,0.02293,0.00359,0.5,0.10387,0.04671,2.03452,6.80696,0.04914,0.001604,0.001604,0.001604
12,39.4395,1.64903,3.54535,0.02301,0.00462,0.64286,0.11617,0.05032,1.89644,6.59691,0.04635,0.0015644,0.0015644,0.0015644
