epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5181,1.491,7.28756,0.00597,0,0,0,0,1.36432,7.72956,0.00595,5.13067e-05,5.13067e-05,5.13067e-05
2,113.921,1.46871,7.0452,0.00577,0.0133,0.12224,0.00987,0.00801,1.41729,7.37797,0.00621,0.000101261,0.000101261,0.000101261
3,160.886,1.44923,6.65205,0.00576,0.51188,0.03601,0.01965,0.01565,1.41805,7.09295,0.00608,0.000149157,0.000149157,0.000149157
4,207.388,1.46941,6.29968,0.00566,0.45566,0.07091,0.02488,0.01979,1.41905,6.70893,0.00598,0.000146734,0.000146734,0.000146734
5,253.987,1.45954,6.04662,0.00567,0.4569,0.09411,0.03404,0.0278,1.41295,6.5077,0.00588,0.000143645,0.000143645,0.000143645
6,299.966,1.47948,5.73662,0.00531,0.47955,0.0753,0.04375,0.03573,1.43699,6.33328,0.00625,0.000140556,0.000140556,0.000140556
7,347.699,1.48273,5.54619,0.00541,0.42254,0.10189,0.07048,0.06074,1.43856,6.19969,0.00606,0.000137467,0.000137467,0.000137467
8,393.794,1.43943,5.55874,0.00544,0.41456,0.0904,0.05138,0.04085,1.40741,6.07466,0.00592,0.000134378,0.000134378,0.000134378
9,440.872,1.44,5.41329,0.00555,0.42512,0.10165,0.06266,0.0505,1.41641,5.99078,0.00592,0.00013129,0.00013129,0.00013129
10,486.95,1.41906,5.26187,0.00525,0.42678,0.09463,0.05838,0.04577,1.41786,5.88545,0.00601,0.000128201,0.000128201,0.000128201
11,533.537,1.46397,5.16598,0.00544,0.50938,0.10008,0.06305,0.04883,1.43351,5.78931,0.00603,0.000125112,0.000125112,0.000125112
12,580.192,1.45507,5.1052,0.00541,0.52169,0.09848,0.07148,0.05702,1.41853,5.69894,0.00604,0.000122023,0.000122023,0.000122023
13,627.126,1.39676,4.95625,0.00526,0.50275,0.08661,0.06968,0.05379,1.39551,5.62392,0.00601,0.000118934,0.000118934,0.000118934
14,673.5,1.4281,4.87401,0.00528,0.51648,0.10383,0.07762,0.06119,1.40419,5.53366,0.00611,0.000115846,0.000115846,0.000115846
15,720.437,1.43411,4.81588,0.00527,0.48434,0.09977,0.08821,0.06995,1.39221,5.4506,0.00595,0.000112757,0.000112757,0.000112757
16,766.973,1.41588,4.65503,0.00495,0.41546,0.13456,0.09422,0.07505,1.39027,5.41888,0.00602,0.000109668,0.000109668,0.000109668
17,814.446,1.4344,4.6606,0.00518,0.39532,0.15867,0.09494,0.07582,1.38277,5.35702,0.00581,0.000106579,0.000106579,0.000106579
18,859.282,1.44288,4.55216,0.00511,0.43384,0.14971,0.10327,0.08316,1.398,5.26497,0.00581,0.00010349,0.00010349,0.00010349
19,906.883,1.42759,4.52687,0.00497,0.38566,0.15101,0.09847,0.07909,1.39838,5.18019,0.00604,0.000100402,0.000100402,0.000100402
20,953.491,1.37611,4.47336,0.00498,0.39135,0.15764,0.1102,0.08806,1.41034,5.11921,0.00608,9.73128e-05,9.73128e-05,9.73128e-05
21,999.362,1.4544,4.39997,0.00526,0.37784,0.16073,0.11058,0.0884,1.40714,5.04905,0.00607,9.4224e-05,9.4224e-05,9.4224e-05
22,1045.2,1.45441,4.26128,0.00493,0.42527,0.1453,0.10309,0.08314,1.41058,5.0244,0.00606,9.11352e-05,9.11352e-05,9.11352e-05
23,1092.6,1.39815,4.23232,0.005,0.43306,0.14133,0.11269,0.09044,1.37139,4.99778,0.00598,8.80464e-05,8.80464e-05,8.80464e-05
24,1139.66,1.39129,4.23524,0.00502,0.4524,0.12515,0.11364,0.08916,1.38388,4.94599,0.00587,8.49576e-05,8.49576e-05,8.49576e-05
25,1187.45,1.41847,4.16401,0.00489,0.37512,0.14036,0.11572,0.09151,1.3898,4.88244,0.00602,8.18688e-05,8.18688e-05,8.18688e-05
26,1234.78,1.39672,4.17054,0.005,0.39087,0.16083,0.11239,0.08857,1.40361,4.83098,0.0061,7.878e-05,7.878e-05,7.878e-05
27,1281.82,1.38145,4.07514,0.00495,0.39553,0.16885,0.11568,0.09205,1.3916,4.79518,0.00586,7.56912e-05,7.56912e-05,7.56912e-05
