epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,69.9963,1.36395,3.7248,0.00465,0.3665,0.10645,0.10112,0.08526,1.39663,4.53467,0.00596,5.13067e-05,5.13067e-05,5.13067e-05
2,112.822,1.36993,3.73916,0.00479,0.29859,0.11741,0.10009,0.08175,1.41448,4.48896,0.00616,0.000102284,0.000102284,0.000102284
3,160.248,1.3666,3.70293,0.00488,0.27594,0.10934,0.10119,0.08561,1.42242,4.5059,0.00619,0.000152232,0.000152232,0.000152232
4,208.265,1.37782,3.65292,0.00487,0.38295,0.13055,0.10798,0.09082,1.43385,4.41197,0.0064,0.000151367,0.000151367,0.000151367
5,255.073,1.38588,3.616,0.00486,0.30935,0.12244,0.10221,0.08409,1.40737,4.38004,0.00616,0.000149822,0.000149822,0.000149822
6,302.027,1.39546,3.53236,0.00465,0.34709,0.11793,0.10239,0.08374,1.4065,4.35771,0.00636,0.000148278,0.000148278,0.000148278
7,348.696,1.38736,3.45429,0.00475,0.36071,0.11503,0.10519,0.08713,1.40158,4.28841,0.0061,0.000146734,0.000146734,0.000146734
8,395.15,1.34928,3.49948,0.00484,0.32036,0.1298,0.10112,0.08502,1.3998,4.24604,0.00591,0.000145189,0.000145189,0.000145189
9,441.781,1.35648,3.41894,0.00493,0.38361,0.11577,0.11125,0.08974,1.43976,4.26231,0.0063,0.000143645,0.000143645,0.000143645
10,489.153,1.3465,3.32306,0.00475,0.30986,0.13125,0.11297,0.09236,1.42202,4.16464,0.0061,0.0001421,0.0001421,0.0001421
11,536.274,1.39914,3.31717,0.00492,0.29358,0.13444,0.11235,0.0923,1.42374,4.17737,0.00612,0.000140556,0.000140556,0.000140556
12,582.51,1.38968,3.30471,0.00486,0.37249,0.12781,0.11331,0.09292,1.43016,4.10781,0.0063,0.000139012,0.000139012,0.000139012
13,629.587,1.31728,3.19921,0.00469,0.29757,0.12746,0.11187,0.09227,1.42394,4.07885,0.00634,0.000137467,0.000137467,0.000137467
